type,question,answer,explanation
Family_YesNo,Steven Seagal có phải là cha/mẹ của Samuel Steven Seagal không?,No,"Sai, Steven Seagal là con của Samuel Steven Seagal."
2-hop_CoActor,Emily Blunt và Pedro Pascal có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Adjustment Bureau'."
2-hop_CoActor,Bob Dylan và Katherine Waterston có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Steve Jobs'."
1-hop_YesNo,Nicole Kidman có tham gia bộ phim 'Bombshell' không?,Yes,"Đúng, Nicole Kidman là diễn viên trong phim Bombshell."
Family_YesNo,Brooke Shields có phải là cha/mẹ của Teri Shields không?,No,"Sai, Brooke Shields là con của Teri Shields."
Family_YesNo,Donald Glover có phải là cha/mẹ của Beverly Glover không?,No,"Sai, Donald Glover là con của Beverly Glover."
2-hop_CoActor,Emily Stofle và Mary Sweeney có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Pirates of the Caribbean: On Stranger Tides'?
A. Drake Doremus
B. John Hamburg
C. Rob Marshall
D. Jon M. Chu",C,Đạo diễn của 'Pirates of the Caribbean: On Stranger Tides' là Rob Marshall.
2-hop_CoActor,Beyoncé và Taylor Lautner có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
2-hop_CoActor,Connie Britton và Jennifer Morrison có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,J. J. Abrams có phải là cha/mẹ của Carol Ann Abrams không?,No,"Sai, J. J. Abrams là con của Carol Ann Abrams."
2-hop_CoActor,Lenny Kravitz và Kim Kardashian có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,Frank Oz có phải là cha/mẹ của Isidore Oznowicz không?,No,"Sai, Frank Oz là con của Isidore Oznowicz."
1-hop_YesNo,J. K. Simmons có tham gia bộ phim 'Terminator Genisys' không?,Yes,"Đúng, J. K. Simmons là diễn viên trong phim Terminator Genisys."
Family,Cha/Mẹ của Lenny Kravitz là ai?,Sy Kravitz,Sy Kravitz là cha/mẹ của Lenny Kravitz.
Family_YesNo,Chuck Norris có phải là cha/mẹ của Wilma Scarberry không?,No,"Sai, Chuck Norris là con của Wilma Scarberry."
1-hop_YesNo,Walton Goggins có tham gia bộ phim 'Lincoln' không?,Yes,"Đúng, Walton Goggins là diễn viên trong phim Lincoln."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Legend of Tarzan' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Legend of Tarzan."
Family,Cha/Mẹ của Helen Hunt là ai?,Jane Elizabeth Novis,Jane Elizabeth Novis là cha/mẹ của Helen Hunt.
MCQ_Director,"Ai là đạo diễn của phim 'The Negotiator'?
A. F. Gary Gray
B. Maggie Gyllenhaal
C. John Hamburg
D. Rob Cohen",A,Đạo diễn của 'The Negotiator' là F. Gary Gray.
Family,Cha/Mẹ của Anderson Cooper là ai?,Gloria Vanderbilt,Gloria Vanderbilt là cha/mẹ của Anderson Cooper.
1-hop_YesNo,Kate McKinnon có tham gia bộ phim 'Bombshell' không?,Yes,"Đúng, Kate McKinnon là diễn viên trong phim Bombshell."
1-hop_YesNo,BD Wong có tham gia bộ phim 'Jurassic World' không?,Yes,"Đúng, BD Wong là diễn viên trong phim Jurassic World."
2-hop_CoActor,Dolph Lundgren và Ronda Rousey có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
2-hop_CoActor,Ashley Greene và John Lithgow có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Martin Donovan và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sabotage'."
2-hop_CoActor,Emily Stofle và Beverly D'Angelo có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Monty Python and the Holy Grail' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Monty Python and the Holy Grail."
MCQ_Director,"Ai là đạo diễn của phim 'Wreck-It Ralph'?
A. Rich Moore
B. Barry Jenkins
C. Steve Carr
D. Joe Johnston",A,Đạo diễn của 'Wreck-It Ralph' là Rich Moore.
MCQ_Director,"Ai là đạo diễn của phim 'Live by Night'?
A. Bradley Cooper
B. Ben Affleck
C. Matt Reeves
D. Stan Winston",B,Đạo diễn của 'Live by Night' là Ben Affleck.
MCQ_Director,"Ai là đạo diễn của phim 'Phantom Thread'?
A. Michael Patrick King
B. Paul Thomas Anderson
C. Sam Raimi
D. Francis Lawrence",B,Đạo diễn của 'Phantom Thread' là Paul Thomas Anderson.
2-hop_CoActor,Emily Stofle và Padma Lakshmi có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'xXx Return of Xander Cage' không?,No,"Sai, Martha Lynch Levacy không tham gia phim xXx Return of Xander Cage."
2-hop_CoActor,Emily Stofle và Sawyer Spielberg có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'The Twins Effect'?
A. Chris Buck
B. Kathryn Bigelow
C. Dustin Nguyen
D. Donnie Yen",D,Đạo diễn của 'The Twins Effect' là Donnie Yen.
2-hop_CoActor,Sigourney Weaver và Paul Simon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Annie Hall'."
Family_YesNo,Patrick Schwarzenegger có phải là cha/mẹ của Maria Shriver không?,No,"Sai, Patrick Schwarzenegger là con của Maria Shriver."
1-hop_YesNo,Kieran Culkin có tham gia bộ phim 'Home Alone 2: Lost in New York' không?,Yes,"Đúng, Kieran Culkin là diễn viên trong phim Home Alone 2: Lost in New York."
1-hop_YesNo,Terry Crews có tham gia bộ phim 'The Expendables 3' không?,Yes,"Đúng, Terry Crews là diễn viên trong phim The Expendables 3."
2-hop_CoActor,Emily Stofle và Mike Love có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Terry Crews và Sylvester Stallone có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
2-hop_CoActor,Harrison Ford và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
1-hop_YesNo,John DiMaggio có tham gia bộ phim 'Dr. Dolittle 2' không?,Yes,"Đúng, John DiMaggio là diễn viên trong phim Dr. Dolittle 2."
1-hop_YesNo,Robert De Niro có tham gia bộ phim 'Killers of the Flower Moon' không?,Yes,"Đúng, Robert De Niro là diễn viên trong phim Killers of the Flower Moon."
1-hop_YesNo,Gwen Stefani có tham gia bộ phim 'The Aviator' không?,Yes,"Đúng, Gwen Stefani là diễn viên trong phim The Aviator."
MCQ_Director,"Ai là đạo diễn của phim 'The Evil Dead'?
A. Sam Raimi
B. Peyton Reed
C. Colin Trevorrow
D. Joss Whedon",A,Đạo diễn của 'The Evil Dead' là Sam Raimi.
2-hop_CoActor,Emily Stofle và Janice Crystal có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Douglas Smith có tham gia bộ phim 'Terminator Genisys' không?,Yes,"Đúng, Douglas Smith là diễn viên trong phim Terminator Genisys."
MCQ_Director,"Ai là đạo diễn của phim 'Schindler's List'?
A. Neil Burger
B. Zoë Kravitz
C. Jon Turteltaub
D. Steven Spielberg",D,Đạo diễn của 'Schindler's List' là Steven Spielberg.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Double Impact' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Double Impact."
2-hop_CoActor,Emily Stofle và Dennis Wilson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Nick Jonas có tham gia bộ phim 'Jumanji: The Next Level' không?,Yes,"Đúng, Nick Jonas là diễn viên trong phim Jumanji: The Next Level."
2-hop_CoActor,Emily Stofle và Jackie Stallone có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Before Sunrise'?
A. Richard Linklater
B. Michael Patrick King
C. David Fincher
D. Jordan Vogt-Roberts",A,Đạo diễn của 'Before Sunrise' là Richard Linklater.
2-hop_CoActor,Paul Simon và Shelley Duvall có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Annie Hall'."
1-hop_YesNo,Ray Romano có tham gia bộ phim 'The Irishman' không?,Yes,"Đúng, Ray Romano là diễn viên trong phim The Irishman."
1-hop_YesNo,Sylvester Stallone có tham gia bộ phim 'The Expendables 2' không?,Yes,"Đúng, Sylvester Stallone là diễn viên trong phim The Expendables 2."
Family,Cha/Mẹ của Justin Timberlake là ai?,Lynn Bomar,Lynn Bomar là cha/mẹ của Justin Timberlake.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Looper' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Looper."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Snakes on a Plane' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Snakes on a Plane."
1-hop_YesNo,Sylvester Stallone có tham gia bộ phim 'Escape Plan' không?,Yes,"Đúng, Sylvester Stallone là diễn viên trong phim Escape Plan."
Family,Cha/Mẹ của Anderson Cooper là ai?,Wyatt Emory Cooper,Wyatt Emory Cooper là cha/mẹ của Anderson Cooper.
1-hop_YesNo,David Lynch có tham gia bộ phim 'The Fabelmans' không?,Yes,"Đúng, David Lynch là diễn viên trong phim The Fabelmans."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'A.I. Artificial Intelligence' không?,No,"Sai, Martha Lynch Levacy không tham gia phim A.I. Artificial Intelligence."
2-hop_CoActor,Ashley Greene và Kate McKinnon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Guardians of the Galaxy Vol. 2' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Guardians of the Galaxy Vol. 2."
MCQ_Director,"Ai là đạo diễn của phim 'The Last Airbender'?
A. Paul Thomas Anderson
B. Q2444076
C. George Lucas
D. M. Night Shyamalan",D,Đạo diễn của 'The Last Airbender' là M. Night Shyamalan.
Family_YesNo,Bryan Cranston có phải là cha/mẹ của Joseph Louis Cranston không?,No,"Sai, Bryan Cranston là con của Joseph Louis Cranston."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Last Stand' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Last Stand."
MCQ_Director,"Ai là đạo diễn của phim 'Trolls'?
A. Mike Mitchell
B. Victor Vu
C. John Singleton
D. Rich Moore",A,Đạo diễn của 'Trolls' là Mike Mitchell.
MCQ_Director,"Ai là đạo diễn của phim 'Jack-Jack Attack'?
A. Brad Bird
B. Drake Doremus
C. Aaron Toronto
D. James Franco",A,Đạo diễn của 'Jack-Jack Attack' là Brad Bird.
1-hop_YesNo,Danny DeVito có tham gia bộ phim 'Big Fish' không?,Yes,"Đúng, Danny DeVito là diễn viên trong phim Big Fish."
Family,Cha/Mẹ của Rob Reiner là ai?,Carl Reiner,Carl Reiner là cha/mẹ của Rob Reiner.
1-hop_YesNo,Vanessa Ferlito có tham gia bộ phim 'Wall Street: Money Never Sleeps' không?,Yes,"Đúng, Vanessa Ferlito là diễn viên trong phim Wall Street: Money Never Sleeps."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Little Fockers' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Little Fockers."
2-hop_CoActor,Emily Stofle và Leslie G. Edmonds có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Sin City: A Dame to Kill For'?
A. Victor Vu
B. Jayvee Mai The Hiep
C. George Lucas
D. Robert Rodriguez",D,Đạo diễn của 'Sin City: A Dame to Kill For' là Robert Rodriguez.
Family_YesNo,Ashton Kutcher có phải là cha/mẹ của Larry M. Kutcher không?,No,"Sai, Ashton Kutcher là con của Larry M. Kutcher."
Family_YesNo,Jeff Bennett có phải là cha/mẹ của Genya Benaderet không?,No,"Sai, Jeff Bennett là con của Genya Benaderet."
2-hop_CoActor,Emily Stofle và Katie Lucas có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Q2619019 có phải là cha/mẹ của Jacqueline Blanche Jenkins không?,No,"Sai, Q2619019 là con của Jacqueline Blanche Jenkins."
1-hop_YesNo,Paul Dano có tham gia bộ phim 'The Fabelmans' không?,Yes,"Đúng, Paul Dano là diễn viên trong phim The Fabelmans."
MCQ_Director,"Ai là đạo diễn của phim 'A Beautiful Mind'?
A. Gore Verbinski
B. Ron Howard
C. David Schwimmer
D. Jorma Taccone",B,Đạo diễn của 'A Beautiful Mind' là Ron Howard.
Family,Cha/Mẹ của Robert Downey Jr. là ai?,Elsie Downey,Elsie Downey là cha/mẹ của Robert Downey Jr..
2-hop_CoActor,Jeff Daniels và Katherine Waterston có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Steve Jobs'."
1-hop_YesNo,Michael Douglas có tham gia bộ phim 'The Jewel of the Nile' không?,Yes,"Đúng, Michael Douglas là diễn viên trong phim The Jewel of the Nile."
2-hop_CoActor,Emily Stofle và Prince Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Paul Walter Hauser có tham gia bộ phim 'BlacKkKlansman' không?,Yes,"Đúng, Paul Walter Hauser là diễn viên trong phim BlacKkKlansman."
Family_YesNo,Harrison Ford có phải là cha/mẹ của Henry Ford không?,No,"Sai, Harrison Ford là con của Henry Ford."
1-hop_YesNo,Rene Russo có tham gia bộ phim 'The Intern' không?,Yes,"Đúng, Rene Russo là diễn viên trong phim The Intern."
Family,Cha/Mẹ của Sharon Osbourne là ai?,Don Arden,Don Arden là cha/mẹ của Sharon Osbourne.
1-hop_YesNo,Terrence Howard có tham gia bộ phim 'Sabotage' không?,Yes,"Đúng, Terrence Howard là diễn viên trong phim Sabotage."
Family,Cha/Mẹ của Robin Williams là ai?,Laura McLaurin,Laura McLaurin là cha/mẹ của Robin Williams.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Savages' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Savages."
1-hop_YesNo,David Lynch có tham gia bộ phim 'Dune' không?,Yes,"Đúng, David Lynch là diễn viên trong phim Dune."
2-hop_CoActor,Mark Moses và Kate McKinnon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Chris Pratt có tham gia bộ phim 'Jurassic World' không?,Yes,"Đúng, Chris Pratt là diễn viên trong phim Jurassic World."
1-hop_YesNo,Al Pacino có tham gia bộ phim 'The Godfather Part II' không?,Yes,"Đúng, Al Pacino là diễn viên trong phim The Godfather Part II."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Billy Lynn's Long Halftime Walk' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Billy Lynn's Long Halftime Walk."
2-hop_CoActor,Nicole Kidman và Kate McKinnon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Rob Schneider và Kieran Culkin có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Home Alone 2: Lost in New York'."
2-hop_CoActor,David Lynch và Paul Dano có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Fabelmans'."
2-hop_CoActor,John DiMaggio và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Monster House' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Monster House."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Apocalypse Now' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Apocalypse Now."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Last Waltz' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Last Waltz."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Elephant Man' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Elephant Man."
1-hop_YesNo,Glen Powell có tham gia bộ phim 'The Expendables 3' không?,Yes,"Đúng, Glen Powell là diễn viên trong phim The Expendables 3."
Family_YesNo,Darren Aronofsky có phải là cha/mẹ của Abraham Aronofsky không?,No,"Sai, Darren Aronofsky là con của Abraham Aronofsky."
2-hop_CoActor,Sylvester Stallone và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables'."
Family,Cha/Mẹ của Tom Cruise là ai?,Thomas Cruise Mapother III,Thomas Cruise Mapother III là cha/mẹ của Tom Cruise.
2-hop_CoActor,Emily Stofle và Jeff Bridges có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Martin Scorsese có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Movie 43'?
A. James Foley
B. Stephane Gauger
C. Channing Tatum
D. Steve Carr",D,Đạo diễn của 'Movie 43' là Steve Carr.
2-hop_CoActor,Emily Stofle và Joseph Baena có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Johnny Depp có phải là cha/mẹ của Betty Sue Wells không?,No,"Sai, Johnny Depp là con của Betty Sue Wells."
MCQ_Director,"Ai là đạo diễn của phim 'Bad Teacher'?
A. Lin-Manuel Miranda
B. Joss Whedon
C. John Krasinski
D. Jake Kasdan",D,Đạo diễn của 'Bad Teacher' là Jake Kasdan.
MCQ_Director,"Ai là đạo diễn của phim 'Thirteen Lives'?
A. Linh Nga
B. Chris Columbus
C. Wes Anderson
D. Ron Howard",D,Đạo diễn của 'Thirteen Lives' là Ron Howard.
2-hop_CoActor,Emily Stofle và Riley Sweeney Lynch có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Back to the Future Part III'?
A. Elizabeth Banks
B. Q219512
C. Cameron Crowe
D. Robert Zemeckis",D,Đạo diễn của 'Back to the Future Part III' là Robert Zemeckis.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Princess Bride' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Princess Bride."
2-hop_CoActor,Justin Theroux và Robert Forster có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Mulholland Drive'."
Family_YesNo,Wang Leehom có phải là cha/mẹ của Wang Dazhong không?,No,"Sai, Wang Leehom là con của Wang Dazhong."
MCQ_Director,"Ai là đạo diễn của phim 'Vengeful Heart'?
A. Victor Vu
B. Kathryn Bigelow
C. Paul Thomas Anderson
D. Steven C. Miller",A,Đạo diễn của 'Vengeful Heart' là Victor Vu.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Fast and the Furious' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Fast and the Furious."
2-hop_CoActor,Rob Delaney và John Lithgow có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Emily Stofle và Adda Quinn có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Shane Black và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Predator'."
1-hop_YesNo,Brett Cullen có tham gia bộ phim 'Joker' không?,Yes,"Đúng, Brett Cullen là diễn viên trong phim Joker."
MCQ_Director,"Ai là đạo diễn của phim 'The Lone Ranger'?
A. Frank Oz
B. Tim Burton
C. Cameron Crowe
D. Gore Verbinski",D,Đạo diễn của 'The Lone Ranger' là Gore Verbinski.
2-hop_CoActor,Emily Stofle và Noor Alfallah có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Steven Spielberg là ai?,Arnold Spielberg,Arnold Spielberg là cha/mẹ của Steven Spielberg.
2-hop_CoActor,"Emily Stofle và ""Weird Al"" Yankovic có từng đóng chung phim nào không?",No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Skulls' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Skulls."
2-hop_CoActor,Emily Stofle và Ian Lithgow có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Boyhood'?
A. John Hamburg
B. Charlie Kaufman
C. Richard Linklater
D. Joss Whedon",C,Đạo diễn của 'Boyhood' là Richard Linklater.
Family_YesNo,Paul Simon có phải là cha/mẹ của Belle Simon không?,No,"Sai, Paul Simon là con của Belle Simon."
1-hop_YesNo,John Carroll Lynch có tham gia bộ phim 'Shutter Island' không?,Yes,"Đúng, John Carroll Lynch là diễn viên trong phim Shutter Island."
Family,Cha/Mẹ của Casey Affleck là ai?,Christine Anne Boldt,Christine Anne Boldt là cha/mẹ của Casey Affleck.
MCQ_Director,"Ai là đạo diễn của phim 'Corpse Bride'?
A. Tim Burton
B. Frank Darabont
C. Tommy Lee Jones
D. Chris Buck",A,Đạo diễn của 'Corpse Bride' là Tim Burton.
Family_YesNo,Helen Mirren có phải là cha/mẹ của Basil Mirren không?,No,"Sai, Helen Mirren là con của Basil Mirren."
MCQ_Director,"Ai là đạo diễn của phim '2 Fast 2 Furious'?
A. Terrence Malick
B. John Singleton
C. John Krasinski
D. David Fincher",B,Đạo diễn của '2 Fast 2 Furious' là John Singleton.
Family_YesNo,Randy Orton có phải là cha/mẹ của Bob Orton Jr. không?,No,"Sai, Randy Orton là con của Bob Orton Jr.."
2-hop_CoActor,Emily Stofle và Suzanne Yankovic có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Q3959303 có tham gia bộ phim 'The Wolf of Wall Street' không?,Yes,"Đúng, Q3959303 là diễn viên trong phim The Wolf of Wall Street."
MCQ_Director,"Ai là đạo diễn của phim 'Up'?
A. Kevin Costner
B. Ben Stiller
C. Jayvee Mai The Hiep
D. Pete Docter",D,Đạo diễn của 'Up' là Pete Docter.
MCQ_Director,"Ai là đạo diễn của phim 'The Shawshank Redemption'?
A. Craig Chester
B. Frank Darabont
C. Chris Columbus
D. Robert Rodriguez",B,Đạo diễn của 'The Shawshank Redemption' là Frank Darabont.
MCQ_Director,"Ai là đạo diễn của phim 'Apocalypto'?
A. Patrick Wilson
B. Ryan Murphy
C. Mel Gibson
D. Wang Leehom",C,Đạo diễn của 'Apocalypto' là Mel Gibson.
Family_YesNo,Matt Bomer có phải là cha/mẹ của Elizabeth Macy Staton không?,No,"Sai, Matt Bomer là con của Elizabeth Macy Staton."
1-hop_YesNo,Jared Leto có tham gia bộ phim 'House of Gucci' không?,Yes,"Đúng, Jared Leto là diễn viên trong phim House of Gucci."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Escape Plan 2: Hades' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Escape Plan 2: Hades."
MCQ_Director,"Ai là đạo diễn của phim 'Pirates of the Caribbean: The Curse of the Black Pearl'?
A. Christopher Nolan
B. Gore Verbinski
C. Tommy Lee Jones
D. Elizabeth Banks",B,Đạo diễn của 'Pirates of the Caribbean: The Curse of the Black Pearl' là Gore Verbinski.
Family_YesNo,J. J. Abrams có phải là cha/mẹ của Gerald W. Abrams không?,No,"Sai, J. J. Abrams là con của Gerald W. Abrams."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'A Walk Among the Tombstones' không?,No,"Sai, Martha Lynch Levacy không tham gia phim A Walk Among the Tombstones."
MCQ_Director,"Ai là đạo diễn của phim 'Phineas and Ferb the Movie: Across the 2nd Dimension'?
A. Dan Povenmire
B. Christopher McQuarrie
C. Francis Lawrence
D. Tim Burton",A,Đạo diễn của 'Phineas and Ferb the Movie: Across the 2nd Dimension' là Dan Povenmire.
Family_YesNo,Mark Hamill có phải là cha/mẹ của William Hamill không?,No,"Sai, Mark Hamill là con của William Hamill."
Family_YesNo,Mel Gibson có phải là cha/mẹ của Hutton Gibson không?,No,"Sai, Mel Gibson là con của Hutton Gibson."
2-hop_CoActor,Isaac Hayes và Raven-Symoné có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
MCQ_Director,"Ai là đạo diễn của phim 'Knock at the Cabin'?
A. Chris Buck
B. Bradley Cooper
C. M. Night Shyamalan
D. Joe Johnston",C,Đạo diễn của 'Knock at the Cabin' là M. Night Shyamalan.
Family,Cha/Mẹ của Patricia Clarkson là ai?,Jackie Clarkson,Jackie Clarkson là cha/mẹ của Patricia Clarkson.
MCQ_Director,"Ai là đạo diễn của phim 'Isle of Dogs'?
A. Wes Anderson
B. Terrence Malick
C. Beyoncé
D. Steve Carr",A,Đạo diễn của 'Isle of Dogs' là Wes Anderson.
1-hop_YesNo,Laura Dern có tham gia bộ phim 'Jurassic Park' không?,Yes,"Đúng, Laura Dern là diễn viên trong phim Jurassic Park."
1-hop_YesNo,Jon Bernthal có tham gia bộ phim 'The Wolf of Wall Street' không?,Yes,"Đúng, Jon Bernthal là diễn viên trong phim The Wolf of Wall Street."
Family_YesNo,Stephen Baldwin có phải là cha/mẹ của Carol Baldwin không?,No,"Sai, Stephen Baldwin là con của Carol Baldwin."
2-hop_CoActor,Kelsey Grammer và Ronda Rousey có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
Family,Cha/Mẹ của Ben Affleck là ai?,Timothy Byers Affleck,Timothy Byers Affleck là cha/mẹ của Ben Affleck.
Family_YesNo,Martin Scorsese có phải là cha/mẹ của Catherine Scorsese không?,No,"Sai, Martin Scorsese là con của Catherine Scorsese."
2-hop_CoActor,Emily Stofle và Mary A. Martin có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Jamie Lee Curtis có phải là cha/mẹ của Tony Curtis không?,No,"Sai, Jamie Lee Curtis là con của Tony Curtis."
2-hop_CoActor,Zachary Quinto và Shailene Woodley có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
Family,Cha/Mẹ của Martin Scorsese là ai?,Catherine Scorsese,Catherine Scorsese là cha/mẹ của Martin Scorsese.
1-hop_YesNo,Johnny Depp có tham gia bộ phim 'Jack and Jill' không?,Yes,"Đúng, Johnny Depp là diễn viên trong phim Jack and Jill."
2-hop_CoActor,Emily Stofle và Kay Johnson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Jamie Lee Curtis và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'True Lies'."
2-hop_CoActor,Emily Stofle và Anna Stuart có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Zachary Quinto có tham gia bộ phim 'Snowden' không?,Yes,"Đúng, Zachary Quinto là diễn viên trong phim Snowden."
